source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude
china,http://www.china.org.cn/environment/2011-07/22/content_23044018.htm,3834,07/22/2011 12:00:00 AM,,Gurrero,"The Mexican authorities remained on high alert Thursday as torrential rains and sea waves over 4 meters high slammed the coastline in five states on the Pacific, causing widespread flooding and landslides.  Dora continued to be ""an extremely dangerous"" Category 4 hurricane with sustained winds reaching as much as 250 kilometers per hour and with the highest gusts measured at 305 kilometers per hour, the Miami-based U.S. National Hurricane Center (NHC) said.  The rains and winds from Dora, which was moving along Mexico's Pacific coast, were reported to cause flooding, landslides and falling trees in the Southern States of Chiapas and Gurrero and central states of Michoacan, Nayarit and Colima, an official at Mexico's National Metrological Center said.  There were no immediate reports of casualties, but emergency personal were on full alert as Dora is expected to continue to move along the coast for several more days, dumping rain on vulnerable mountain communities where soils easily s",Gurrero,unknown,landslide,tropical_cyclone,medium,unknown,0,,Hurricane Dora,,,glc,3834,Mexico,MX,Guerrero,165250,Chilpancingo de los Bravos,6.8095,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-99.538,17.4974
The Himalayan Times,https://thehimalayantimes.com/nepal/landslide-obstructs-vehicular-movement-narayangadh-muglin-road/,9944,07/03/2017 06:04:00 PM,,Landslide at Narayangadh-Muglin road,Overnight rainfall triggered a landslide near Kalikhola in Chandibhanjyang VDC of Chitwan district bringing traffic to a halt since 5:00 am. The Narayangadh-Muglin road section has been obstructed due to the landslide in Chitwan district .,"Narayangadh-Muglin road section, Chitwan, Nepal",5km,landslide,rain,medium,above_road,0,0,,,,,,,,,,,,07/03/2017 06:04:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,84.54704621,27.83196401
china,http://www.china.org.cn/environment/2011-07/22/content_23044018.htm,3835,07/22/2011 12:00:00 AM,,Michoacan,"The Mexican authorities remained on high alert Thursday as torrential rains and sea waves over 4 meters high slammed the coastline in five states on the Pacific, causing widespread flooding and landslides.  Dora continued to be ""an extremely dangerous"" Category 4 hurricane with sustained winds reaching as much as 250 kilometers per hour and with the highest gusts measured at 305 kilometers per hour, the Miami-based U.S. National Hurricane Center (NHC) said.  The rains and winds from Dora, which was moving along Mexico's Pacific coast, were reported to cause flooding, landslides and falling trees in the Southern States of Chiapas and Gurrero and central states of Michoacan, Nayarit and Colima, an official at Mexico's National Metrological Center said.  There were no immediate reports of casualties, but emergency personal were on full alert as Dora is expected to continue to move along the coast for several more days, dumping rain on vulnerable mountain communities where soils easily s",Michoacan,unknown,landslide,tropical_cyclone,medium,unknown,0,,Hurricane Dora,,,glc,3835,Mexico,MX,Michoacán,2817,Jarácuaro,3.36905,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-101.7023,19.5805
BusinessWorld Online,http://www.bworldonline.com/content.php?section=Nation&title=-death-toll-from-rains-rises-nationwide-floods-displace-hundreds-in-leyte&id=46961,4205,02/16/2012 12:00:00 AM,,"Mahaplag, Leyte","Thursday’s landslides were noted in Barangays Burubudan, Tadoc and Paguite in Abuyog; Barangays Pulahongon, Mahaplag, Leyte; and Barangay Kahupian, Sogod, Southern Leyte.","Mahaplag, Leyte",25km,landslide,downpour,medium,unknown,0,,,,,glc,4205,Philippines,PH,Eastern Visayas,0,Mahaplag,0.71608,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,124.9705,10.6073
kirotv,http://www.kirotv.com/weather/21638186/detail.html,1306,11/17/2009 12:00:00 AM,,"White Rock, B.C. ",,"White Rock, B.C. ",5km,mudslide,downpour,small,unknown,0,,,,,glc,1306,Canada,CA,British Columbia,66450,White Rock,0.74953,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-122.8001,49.0229
china,http://www.china.org.cn/environment/2011-07/22/content_23044018.htm,3836,07/22/2011 12:00:00 AM,,Nayarit,"The Mexican authorities remained on high alert Thursday as torrential rains and sea waves over 4 meters high slammed the coastline in five states on the Pacific, causing widespread flooding and landslides.  Dora continued to be ""an extremely dangerous"" Category 4 hurricane with sustained winds reaching as much as 250 kilometers per hour and with the highest gusts measured at 305 kilometers per hour, the Miami-based U.S. National Hurricane Center (NHC) said.  The rains and winds from Dora, which was moving along Mexico's Pacific coast, were reported to cause flooding, landslides and falling trees in the Southern States of Chiapas and Gurrero and central states of Michoacan, Nayarit and Colima, an official at Mexico's National Metrological Center said.  There were no immediate reports of casualties, but emergency personal were on full alert as Dora is expected to continue to move along the coast for several more days, dumping rain on vulnerable mountain communities where soils easily s",Nayarit,unknown,landslide,tropical_cyclone,medium,unknown,0,,Hurricane Dora,,,glc,3836,Mexico,MX,Nayarit,6361,Puga,19.41353,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-104.8334,21.7595
postindependent,http://www.postindependent.com/article/20110808/VALLEYNEWS/110809897/1083&ParentProfile=1074,3865,07/30/2011 12:00:00 AM,,"Catherine Store Road, Garfield County, CO","Several Garfield County roads were so badly damaged during recent torrential rains and floods, the county is having to sidestep its own rules to get them fixed quickly.  County Roads 320 (the Rifle-Rulison Road), 115 (Red Canyon Road) and 100 (Catherine Store Road) in Missouri Heights were closed in late July as a result of mudslides and rockfalls along certain stretches.  Public Works Director Betsy Suerth got permission on Monday from the Garfield Board of County Commissioners (BOCC) to spent an estimated $2 million to fix the roads, and to do so in an “expedited manner” to get the roads open to the public as quickly as possible.  “I believe that the damages have caused unsafe conditions and pose a threat to the safety of the public,” Suerth told the BOCC.  County attorney Andrew Gorgey assured the BOCC that state law does allow for such shortcuts in the case of emergencies.  That means the county's normal procurement system, in particular the advertisement for requests for proposals","Catherine Store Road, Garfield County, CO",10km,mudslide,rain,small,unknown,0,,,,,glc,3865,United States,US,Colorado,3801,El Jebel,4.90954,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-107.1291,39.4274
postindependent,http://www.postindependent.com/article/20110808/VALLEYNEWS/110809897/1083&ParentProfile=1074,3866,07/30/2011 12:00:00 AM,,"Red Canyon Road, Garfield County, CO","Several Garfield County roads were so badly damaged during recent torrential rains and floods, the county is having to sidestep its own rules to get them fixed quickly.  County Roads 320 (the Rifle-Rulison Road), 115 (Red Canyon Road) and 100 (Catherine Store Road) in Missouri Heights were closed in late July as a result of mudslides and rockfalls along certain stretches.  Public Works Director Betsy Suerth got permission on Monday from the Garfield Board of County Commissioners (BOCC) to spent an estimated $2 million to fix the roads, and to do so in an “expedited manner” to get the roads open to the public as quickly as possible.  “I believe that the damages have caused unsafe conditions and pose a threat to the safety of the public,” Suerth told the BOCC.  County attorney Andrew Gorgey assured the BOCC that state law does allow for such shortcuts in the case of emergencies.  That means the county's normal procurement system, in particular the advertisement for requests for proposals","Red Canyon Road, Garfield County, CO",10km,mudslide,rain,small,unknown,0,,,,,glc,3866,United States,US,Colorado,9614,Glenwood Springs,10.57117,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,-107.2225,39.4977
China.org.cn,http://china.org.cn/world/2011-09/17/content_23438052.htm,3978,09/17/2011 09:00:00 AM,,"Ruinibang of Sulichowr VDC,Rolpa","At least seven people were killed and over a dozen injured when their houses were hit by landslides triggered by torrential rainfall in Ruinibang bazaar in Rolpa district in the wee hours of Saturday morning.Six houses, some of them lodges, were buried by the landslides.According to police, at least 18 persons who were trapped in their houses following the collapse were rescued alive. The security personnel have been digging to reach the remaining dead bodies.","Ruinibang of Sulichowr VDC,Rolpa",5km,landslide,downpour,medium,unknown,7,,,,,glc,3978,Nepal,NP,,5427,Besisahar,28.60568,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,82.6474,28.3875
Nagaland Post,http://www.nagalandpost.com/ChannelNews/State/StateNews.aspx?news=TkVXUzEwMDEwMjA2OQ%3D%3D,9965,09/05/2016 06:04:00 PM,,Landslide in Nagaland,"In Mokokchung, a massive landslide near Unger village along NH-2 has paralyzed all vehicular movement. When contacted, Deputy Commissioner (DC) Mokokchung, Sushil Kumar Patel told Nagaland Post that the district administration had already instructed the concerned officers from the National Highway Division to take up restoration work at the earliest.","Mokochung, Nagaland, India",1km,landslide,rain,large,,0,0,,,,,,,,,,,,07/03/2017 06:04:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,94.514651,26.324724
