sid,name,date,latitude,longitude,wind_speed,category
1879220N31284,UNNAMED,1879-08-11,38.80,-68.00,70,1
1879225N13302,UNNAMED,1879-08-18,31.10,-78.30,100,3
1879231N17279,UNNAMED,1879-08-22,27.20,-94.00,90,2
1879241N24272,UNNAMED,1879-09-01,27.60,-91.90,110,3
1879276N15282,UNNAMED,1879-10-06,24.40,-86.90,50,0
1879282N14304,UNNAMED,1879-10-11,16.00,-72.00,50,0
1879297N20275,UNNAMED,1879-10-29,40.00,-69.10,70,1
1879322N22287,UNNAMED,1879-11-20,33.50,-72.00,90,2
1880173N27274,UNNAMED,1880-06-21,26.70,-86.50,40,0
1880217N16300,UNNAMED,1880-08-13,25.50,-96.80,130,4
1880228N14301,UNNAMED,1880-08-19,17.70,-76.60,80,1
1880230N15342,UNNAMED,1880-08-27,26.60,-71.00,90,2
1880235N13333,UNNAMED,1880-08-30,32.80,-64.60,80,1
1880248N22283,UNNAMED,1880-09-08,31.90,-74.50,80,1
1880250N24271,UNNAMED,1880-09-09,33.50,-78.10,70,1
1880271N23317,UNNAMED,1880-10-01,27.00,-62.00,120,4
1880279N18275,UNNAMED,1880-10-08,26.50,-85.70,70,1
1880284N24295,UNNAMED,1880-10-12,27.00,-66.30,80,1
1880295N27285,UNNAMED,1880-10-23,37.50,-71.80,60,0
1881213N23275,UNNAMED,1881-08-03,28.50,-87.80,50,0
1881223N16329,UNNAMED,1881-08-11,16.00,-31.00,80,1
1881224N26271,UNNAMED,1881-08-11,25.60,-88.70,40,0
1881228N20273,UNNAMED,1881-08-19,34.50,-69.50,70,1
1881233N17303,UNNAMED,1881-08-26,28.70,-77.90,90,2
1881247N13306,UNNAMED,1881-09-09,31.60,-76.00,90,2
1881261N35292,UNNAMED,1881-09-19,41.70,-60.20,60,0
1882236N38308,UNNAMED,1882-08-24,37.50,-52.00,70,1
1882244N19296,UNNAMED,1882-09-10,29.90,-87.20,110,3
1882255N19269,UNNAMED,1882-09-15,29.30,-93.40,50,0
1882264N29283,UNNAMED,1882-09-22,33.10,-77.40,50,0
1882267N30283,UNNAMED,1882-09-25,32.50,-75.00,70,1
1882278N11279,UNNAMED,1882-10-09,21.60,-83.70,120,4
1883230N19312,UNNAMED,1883-08-25,36.50,-65.70,80,1
1883233N12318,UNNAMED,1883-08-28,32.00,-68.20,110,3
1883247N14302,UNNAMED,1883-09-04,14.00,-57.90,110,3
1883295N28282,UNNAMED,1883-10-27,45.70,-40.40,70,-4
1884242N29294,UNNAMED,1884-09-01,38.50,-62.50,70,1
1884247N15324,UNNAMED,1884-09-07,21.00,-57.50,100,3
1884253N27282,UNNAMED,1884-09-17,28.90,-75.20,80,1
1884280N12281,UNNAMED,1884-10-14,25.80,-75.10,90,2
1885212N12337,UNNAMED,1885-08-10,43.20,-53.80,80,1
1885233N21293,UNNAMED,1885-08-24,29.80,-80.80,90,2
1885241N25267,UNNAMED,1885-08-30,28.10,-90.70,50,0
1885260N22265,UNNAMED,1885-09-23,27.00,-92.70,80,1
1885261N14307,UNNAMED,1885-09-23,36.00,-71.00,80,-5
1885269N24304,UNNAMED,1885-09-29,39.70,-61.00,80,1
1885283N23274,UNNAMED,1885-10-11,27.70,-83.90,60,0
1886158N18285,UNNAMED,1886-06-14,29.30,-94.30,85,2
1886168N19275,UNNAMED,1886-06-20,24.30,-85.10,85,2
1886178N17286,UNNAMED,1886-06-30,25.90,-86.60,85,2
1886195N19277,UNNAMED,1886-07-20,32.80,-74.30,75,1
1886224N11303,UNNAMED,1886-08-20,27.40,-95.30,130,4
1886225N13320,UNNAMED,1886-08-21,20.80,-78.70,105,3
1886226N15336,UNNAMED,1886-08-21,33.50,-62.50,100,3
1886259N21295,UNNAMED,1886-09-21,21.90,-91.40,85,2
1886263N18298,UNNAMED,1886-09-24,25.40,-65.50,85,2
1886277N14279,UNNAMED,1886-10-12,28.00,-90.10,105,3
1886283N29300,UNNAMED,1886-10-13,33.10,-57.10,45,0
1886294N14283,UNNAMED,1886-10-23,24.00,-67.30,60,0
1887135N29296,UNNAMED,1887-05-16,32.70,-66.30,60,0
1887137N16283,UNNAMED,1887-05-18,19.40,-78.80,50,0
1887162N20274,UNNAMED,1887-06-12,23.00,-86.50,35,0
1887201N12302,UNNAMED,1887-07-22,14.40,-71.20,85,2
1887211N10310,UNNAMED,1887-08-02,13.60,-62.30,50,0
1887226N14328,UNNAMED,1887-08-22,26.70,-77.70,110,3
1887226N16302,UNNAMED,1887-08-20,33.60,-76.70,105,3
1887241N12323,UNNAMED,1887-09-03,38.90,-56.50,90,2
1887255N13303,UNNAMED,1887-09-14,14.20,-67.80,85,2
1887255N14316,UNNAMED,1887-09-16,35.30,-54.80,70,1
1887280N18289,UNNAMED,1887-10-08,21.50,-74.50,60,0
1887280N20275,UNNAMED,1887-10-07,19.70,-87.30,50,0
1887282N19300,UNNAMED,1887-10-12,20.00,-78.70,75,1
1887283N28321,UNNAMED,1887-10-11,32.50,-40.10,75,1
1887289N14312,UNNAMED,1887-10-16,17.00,-52.00,90,2
1887303N27274,UNNAMED,1887-11-01,36.50,-70.30,70,-4
1887332N22293,UNNAMED,1887-11-29,23.70,-73.50,70,1
1887339N19306,UNNAMED,1887-12-07,34.00,-55.60,70,1
1887341N13302,UNNAMED,1887-12-09,13.20,-66.80,50,0
1888168N28267,UNNAMED,1888-06-17,28.20,-95.40,70,1
1888187N26266,UNNAMED,1888-07-05,27.00,-95.10,50,0
1888228N23289,UNNAMED,1888-08-16,25.40,-78.90,110,3
1888239N13328,UNNAMED,1888-09-03,22.30,-75.50,110,3
1888250N24288,UNNAMED,1888-09-09,29.80,-82.50,50,0
1888268N24279,UNNAMED,1888-09-26,38.70,-71.90,70,1
1888283N22267,UNNAMED,1888-10-10,27.50,-84.50,95,2
1888306N12300,UNNAMED,1888-11-04,24.50,-59.70,50,0
1888322N23305,UNNAMED,1888-11-23,30.10,-74.20,85,2
1889136N19292,UNNAMED,1889-05-20,33.00,-74.10,70,1
1889166N20276,UNNAMED,1889-06-15,22.00,-84.60,65,1
1889231N17291,UNNAMED,1889-08-27,35.90,-71.70,70,1
1889244N12305,UNNAMED,1889-09-03,18.00,-64.00,90,2
1889245N16317,UNNAMED,1889-09-07,32.10,-54.10,70,1
1889255N15334,UNNAMED,1889-09-15,31.40,-37.50,50,0
